SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
1Ba3845bDC6fF17De21F4211B9D24D5544E878B2_BBArtefact.sol;1b;ERC721Metadata;contract;5;5;0;3;3;0;0;1;0;1;1;3;0;0;0;1.0;0.0;0.0;0.3333333333333333;0.0;0.0
1Ba3845bDC6fF17De21F4211B9D24D5544E878B2_BBArtefact.sol;1b;ERC721;contract;2;2;0;0;0;0;0;0;0;2;3;2;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
1Ba3845bDC6fF17De21F4211B9D24D5544E878B2_BBArtefact.sol;1b;ERC721Basic;contract;41;36;0;10;10;0;0;20;0;0;0;6;0;0;0;1.0;0.0;0.0;2.0;0.0;0.0
1Ba3845bDC6fF17De21F4211B9D24D5544E878B2_BBArtefact.sol;1b;ERC721Receiver;contract;28;10;17;1;1;0;0;3;0;0;0;0;0;1;0;1.0;0.0;0.0;3.0;0.0;0.0
1Ba3845bDC6fF17De21F4211B9D24D5544E878B2_BBArtefact.sol;1b;ERC721Token;contract;180;81;72;11;12;1;1;14;40;3;5;1;0;7;13;1.0909090909090908;0.09090909090909091;0.09090909090909091;1.2727272727272727;3.6363636363636362;1.1818181818181819
1Ba3845bDC6fF17De21F4211B9D24D5544E878B2_BBArtefact.sol;1b;AddressUtils;library;23;7;14;1;1;0;0;1;3;0;0;0;0;0;0;1.0;0.0;0.0;1.0;3.0;0.0
1Ba3845bDC6fF17De21F4211B9D24D5544E878B2_BBArtefact.sol;1b;ERC721BasicToken;contract;312;152;133;17;20;3;3;36;55;1;1;2;0;5;31;1.1764705882352942;0.17647058823529413;0.17647058823529413;2.1176470588235294;3.235294117647059;1.8235294117647058
1Ba3845bDC6fF17De21F4211B9D24D5544E878B2_BBArtefact.sol;1b;ERC721Enumerable;contract;12;11;0;3;3;0;0;3;0;1;1;3;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
1Ba3845bDC6fF17De21F4211B9D24D5544E878B2_BBArtefact.sol;1b;SafeMath;library;45;22;18;4;5;1;1;8;11;0;0;0;0;0;3;1.25;0.25;0.25;2.0;2.75;0.75
1Ba3845bDC6fF17De21F4211B9D24D5544E878B2_BBArtefact.sol;1b;Ownable;contract;53;27;18;3;3;0;0;2;9;0;0;1;0;1;3;1.0;0.0;0.0;0.6666666666666666;3.0;1.0
1Ba3845bDC6fF17De21F4211B9D24D5544E878B2_BBArtefact.sol;1b;BBArtefact;contract;23;18;0;0;0;0;0;0;2;4;7;0;0;7;0;0.0;0.0;0.0;0.0;0.0;0.0
