SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
0a3fba29c8941fb09f6c712c06d2eade82df225b_TotleProxyPrimary.sol;0a;TotlePrimary;contract;429;276;91;8;38;15;15;14;152;2;3;0;5;6;29;4.75;1.875;1.875;1.75;19.0;3.625
0a3fba29c8941fb09f6c712c06d2eade82df225b_TotleProxyPrimary.sol;0a;AllowanceSetter;contract;15;8;5;1;2;1;1;2;2;0;0;1;0;1;3;2.0;1.0;1.0;2.0;2.0;3.0
0a3fba29c8941fb09f6c712c06d2eade82df225b_TotleProxyPrimary.sol;0a;SafeMath;library;59;29;21;5;6;1;1;10;16;0;0;0;0;0;5;1.2;0.2;0.2;2.0;3.2;1.0
0a3fba29c8941fb09f6c712c06d2eade82df225b_TotleProxyPrimary.sol;0a;ERC20;contract;30;22;0;7;7;0;0;10;0;0;0;0;0;0;0;1.0;0.0;0.0;1.4285714285714286;0.0;0.0
0a3fba29c8941fb09f6c712c06d2eade82df225b_TotleProxyPrimary.sol;0a;TotleProxyPrimary;contract;72;64;0;5;13;7;7;12;31;1;2;0;2;2;12;2.6;1.4;1.4;2.4;6.2;2.4
0a3fba29c8941fb09f6c712c06d2eade82df225b_TotleProxyPrimary.sol;0a;Withdrawable;contract;18;8;8;2;2;0;0;3;2;1;1;2;0;0;2;1.0;0.0;0.0;1.5;1.0;1.0
0a3fba29c8941fb09f6c712c06d2eade82df225b_TotleProxyPrimary.sol;0a;Pausable;contract;45;24;15;3;3;0;0;0;20;1;1;2;0;1;0;1.0;0.0;0.0;0.0;6.666666666666667;0.0
0a3fba29c8941fb09f6c712c06d2eade82df225b_TotleProxyPrimary.sol;0a;ExchangeHandler;contract;210;152;50;4;4;0;0;6;14;2;5;0;1;1;4;1.0;0.0;0.0;1.5;3.5;1.0
0a3fba29c8941fb09f6c712c06d2eade82df225b_TotleProxyPrimary.sol;0a;ErrorReporter;contract;5;5;0;1;1;0;0;1;1;0;0;0;0;0;1;1.0;0.0;0.0;1.0;1.0;1.0
0a3fba29c8941fb09f6c712c06d2eade82df225b_TotleProxyPrimary.sol;0a;Ownable;contract;56;27;21;3;3;0;0;2;9;0;0;8;0;1;3;1.0;0.0;0.0;0.6666666666666666;3.0;1.0
0a3fba29c8941fb09f6c712c06d2eade82df225b_TotleProxyPrimary.sol;0a;SelectorProvider;contract;8;7;0;1;1;0;0;1;0;0;0;1;0;22;0;1.0;0.0;0.0;1.0;0.0;0.0
0a3fba29c8941fb09f6c712c06d2eade82df225b_TotleProxyPrimary.sol;0a;TotleControl;contract;31;20;7;2;2;0;0;2;5;1;1;1;0;1;0;1.0;0.0;0.0;1.0;2.5;0.0
0a3fba29c8941fb09f6c712c06d2eade82df225b_TotleProxyPrimary.sol;0a;ERC20SafeTransfer;library;39;29;0;4;4;0;0;10;60;0;0;0;0;0;6;1.0;0.0;0.0;2.5;15.0;1.5
0a3fba29c8941fb09f6c712c06d2eade82df225b_TotleProxyPrimary.sol;0a;AffiliateRegistry;contract;54;44;0;6;6;0;0;10;17;1;1;0;1;4;7;1.0;0.0;0.0;1.6666666666666667;2.8333333333333335;1.1666666666666667
0a3fba29c8941fb09f6c712c06d2eade82df225b_TotleProxyPrimary.sol;0a;TokenTransferProxy;contract;91;61;19;4;6;2;2;6;19;1;1;0;0;2;2;1.5;0.5;0.5;1.5;4.75;0.5
0a3fba29c8941fb09f6c712c06d2eade82df225b_TotleProxyPrimary.sol;0a;Utils;library;137;104;31;14;17;3;3;27;41;0;0;0;1;6;9;1.2142857142857142;0.21428571428571427;0.21428571428571427;1.9285714285714286;2.9285714285714284;0.6428571428571429
0a3fba29c8941fb09f6c712c06d2eade82df225b_TotleProxyPrimary.sol;0a;Affiliate;contract;30;22;2;4;4;0;0;4;8;0;0;0;0;4;3;1.0;0.0;0.0;1.0;2.0;0.75
