SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
4B0E3d42aFA1975274863b4a44ac2E2C9e3e0cB9_MainToken.sol;4b;BurnableToken;contract;23;13;6;2;2;0;0;3;6;2;2;1;0;0;4;1.0;0.0;0.0;1.5;3.0;2.0
4B0E3d42aFA1975274863b4a44ac2E2C9e3e0cB9_MainToken.sol;4b;MintableToken;contract;49;33;10;2;2;0;0;2;12;3;5;2;0;1;2;1.0;0.0;0.0;1.0;6.0;1.0
4B0E3d42aFA1975274863b4a44ac2E2C9e3e0cB9_MainToken.sol;4b;ERC20Basic;contract;6;6;0;3;3;0;0;3;0;0;0;8;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
4B0E3d42aFA1975274863b4a44ac2E2C9e3e0cB9_MainToken.sol;4b;ERC20;contract;14;12;0;3;3;0;0;7;0;1;1;5;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
4B0E3d42aFA1975274863b4a44ac2E2C9e3e0cB9_MainToken.sol;4b;BasicToken;contract;39;19;13;3;3;0;0;3;8;1;1;6;0;2;3;1.0;0.0;0.0;1.0;2.6666666666666665;1.0
4B0E3d42aFA1975274863b4a44ac2E2C9e3e0cB9_MainToken.sol;4b;SafeMath;library;45;22;18;4;5;1;1;8;11;0;0;0;0;0;3;1.25;0.25;0.25;2.0;2.75;0.75
4B0E3d42aFA1975274863b4a44ac2E2C9e3e0cB9_MainToken.sol;4b;StandardToken;contract;114;63;42;5;6;1;1;11;21;2;3;4;0;1;6;1.2;0.2;0.2;2.2;4.2;1.2
4B0E3d42aFA1975274863b4a44ac2E2C9e3e0cB9_MainToken.sol;4b;Ownable;contract;53;27;18;3;3;0;0;2;9;0;0;4;0;1;3;1.0;0.0;0.0;0.6666666666666666;3.0;1.0
4B0E3d42aFA1975274863b4a44ac2E2C9e3e0cB9_MainToken.sol;4b;FreezableToken;contract;167;104;38;10;19;6;6;13;64;3;4;2;0;3;18;1.9;0.6;0.6;1.3;6.4;1.8
4B0E3d42aFA1975274863b4a44ac2E2C9e3e0cB9_MainToken.sol;4b;Pausable;contract;39;21;12;2;2;0;0;0;8;1;1;1;0;1;0;1.0;0.0;0.0;0.0;4.0;0.0
4B0E3d42aFA1975274863b4a44ac2E2C9e3e0cB9_MainToken.sol;4b;MainToken;contract;29;20;0;5;5;0;0;5;7;5;11;0;0;0;4;1.0;0.0;0.0;1.0;1.4;0.8
4B0E3d42aFA1975274863b4a44ac2E2C9e3e0cB9_MainToken.sol;4b;FreezableMintableToken;contract;24;13;9;1;1;0;0;3;9;4;7;1;0;0;5;1.0;0.0;0.0;3.0;9.0;5.0
4B0E3d42aFA1975274863b4a44ac2E2C9e3e0cB9_MainToken.sol;4b;Consts;contract;14;11;0;0;0;0;0;0;0;0;0;1;0;11;0;0.0;0.0;0.0;0.0;0.0;0.0
