SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
34bd4130ea78a5b0f829579050bee911207ca24d_Coinereeum.sol;34;Claimable;contract;28;15;10;2;2;0;0;1;6;1;1;1;0;1;1;1.0;0.0;0.0;0.5;3.0;0.5
34bd4130ea78a5b0f829579050bee911207ca24d_Coinereeum.sol;34;BasicToken;contract;39;19;13;3;3;0;0;3;8;1;1;3;0;2;3;1.0;0.0;0.0;1.0;2.6666666666666665;1.0
34bd4130ea78a5b0f829579050bee911207ca24d_Coinereeum.sol;34;ERC20Basic;contract;6;6;0;3;3;0;0;3;0;0;0;5;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
34bd4130ea78a5b0f829579050bee911207ca24d_Coinereeum.sol;34;Ownable;contract;56;27;21;3;3;0;0;2;9;0;0;2;0;1;3;1.0;0.0;0.0;0.6666666666666666;3.0;1.0
34bd4130ea78a5b0f829579050bee911207ca24d_Coinereeum.sol;34;Burnable;contract;23;13;6;2;2;0;0;3;6;2;2;1;0;0;4;1.0;0.0;0.0;1.5;3.0;2.0
34bd4130ea78a5b0f829579050bee911207ca24d_Coinereeum.sol;34;Coinereeum;contract;18;11;6;0;0;0;0;0;3;3;7;0;1;6;0;0.0;0.0;0.0;0.0;0.0;0.0
34bd4130ea78a5b0f829579050bee911207ca24d_Coinereeum.sol;34;StandardToken;contract;84;36;39;5;6;1;1;11;21;2;3;1;0;1;6;1.2;0.2;0.2;2.2;4.2;1.2
34bd4130ea78a5b0f829579050bee911207ca24d_Coinereeum.sol;34;ERC20;contract;10;10;0;3;3;0;0;7;0;1;1;2;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
34bd4130ea78a5b0f829579050bee911207ca24d_Coinereeum.sol;34;SafeMath;library;19;11;6;2;2;0;0;4;5;0;0;0;0;0;2;1.0;0.0;0.0;2.0;2.5;1.0
