SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
ee418a19d6620aa478489032c2cb63464dd3e690_FUTM1.sol;ee;ERC20Basic;contract;6;6;0;3;3;0;0;3;0;0;0;6;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
ee418a19d6620aa478489032c2cb63464dd3e690_FUTM1.sol;ee;Roles;library;46;28;14;4;4;0;0;8;4;0;0;0;0;0;1;1.0;0.0;0.0;2.0;1.0;0.25
ee418a19d6620aa478489032c2cb63464dd3e690_FUTM1.sol;ee;BurnableToken;contract;23;13;6;2;2;0;0;3;6;2;2;1;0;0;4;1.0;0.0;0.0;1.5;3.0;2.0
ee418a19d6620aa478489032c2cb63464dd3e690_FUTM1.sol;ee;ERC20;contract;14;12;0;3;3;0;0;7;0;1;1;3;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
ee418a19d6620aa478489032c2cb63464dd3e690_FUTM1.sol;ee;StandardToken;contract;111;63;39;5;6;1;1;11;21;2;3;2;0;1;6;1.2;0.2;0.2;2.2;4.2;1.2
ee418a19d6620aa478489032c2cb63464dd3e690_FUTM1.sol;ee;RBAC;contract;92;36;46;4;4;0;0;8;8;0;0;1;1;1;4;1.0;0.0;0.0;2.0;2.0;1.0
ee418a19d6620aa478489032c2cb63464dd3e690_FUTM1.sol;ee;BasicToken;contract;39;19;13;3;3;0;0;3;8;1;1;4;0;2;3;1.0;0.0;0.0;1.0;2.6666666666666665;1.0
ee418a19d6620aa478489032c2cb63464dd3e690_FUTM1.sol;ee;Ownable;contract;56;27;21;3;3;0;0;2;9;0;0;2;0;1;3;1.0;0.0;0.0;0.6666666666666666;3.0;1.0
ee418a19d6620aa478489032c2cb63464dd3e690_FUTM1.sol;ee;MintableToken;contract;49;33;10;2;2;0;0;2;12;3;5;1;0;1;2;1.0;0.0;0.0;1.0;6.0;1.0
ee418a19d6620aa478489032c2cb63464dd3e690_FUTM1.sol;ee;FUTM1;contract;174;126;13;10;17;3;3;9;74;4;8;0;1;23;40;1.7;0.3;0.3;0.9;7.4;4.0
ee418a19d6620aa478489032c2cb63464dd3e690_FUTM1.sol;ee;SafeMath;library;45;22;18;4;5;1;1;8;11;0;0;0;0;0;3;1.25;0.25;0.25;2.0;2.75;0.75
