SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
5c76fb5fb117d190beac217bc3568e70f2b6b71d_Wallet.sol;5c;Buffer;library;131;83;36;6;12;5;5;13;32;0;0;0;0;0;5;2.0;0.8333333333333334;0.8333333333333334;2.1666666666666665;5.333333333333333;0.8333333333333334
5c76fb5fb117d190beac217bc3568e70f2b6b71d_Wallet.sol;5c;usingOraclize;contract;948;803;77;92;165;45;41;241;622;0;0;2;3;19;199;1.7934782608695652;0.4891304347826087;0.44565217391304346;2.619565217391304;6.760869565217392;2.1630434782608696
5c76fb5fb117d190beac217bc3568e70f2b6b71d_Wallet.sol;5c;Ownable;contract;60;35;17;5;5;0;0;1;36;0;0;4;0;2;2;1.0;0.0;0.0;0.2;7.2;0.4
5c76fb5fb117d190beac217bc3568e70f2b6b71d_Wallet.sol;5c;PublicResolver;contract;230;106;100;15;17;2;2;27;31;0;0;0;1;10;2;1.1333333333333333;0.13333333333333333;0.13333333333333333;1.8;2.066666666666667;0.13333333333333333
5c76fb5fb117d190beac217bc3568e70f2b6b71d_Wallet.sol;5c;ParseIntScientific;contract;144;98;57;3;16;7;3;4;128;0;0;1;0;7;11;5.333333333333333;2.3333333333333335;1.0;1.3333333333333333;42.666666666666664;3.6666666666666665
5c76fb5fb117d190beac217bc3568e70f2b6b71d_Wallet.sol;5c;ENS;interface;24;13;4;7;7;0;0;12;0;0;0;0;0;0;0;1.0;0.0;0.0;1.7142857142857142;0.0;0.0
5c76fb5fb117d190beac217bc3568e70f2b6b71d_Wallet.sol;5c;JSON;contract;25;16;5;1;1;0;0;1;23;1;1;1;1;13;6;1.0;0.0;0.0;1.0;23.0;6.0
5c76fb5fb117d190beac217bc3568e70f2b6b71d_Wallet.sol;5c;Date;contract;48;44;2;1;13;12;1;1;32;0;0;1;0;36;1;13.0;12.0;1.0;1.0;32.0;1.0
5c76fb5fb117d190beac217bc3568e70f2b6b71d_Wallet.sol;5c;strings;library;678;408;204;30;89;34;27;57;258;0;0;0;0;0;24;2.966666666666667;1.1333333333333333;0.9;1.9;8.6;0.8
5c76fb5fb117d190beac217bc3568e70f2b6b71d_Wallet.sol;5c;Oracle;contract;337;183;109;13;29;9;8;28;213;2;7;0;1;11;33;2.230769230769231;0.6923076923076923;0.6153846153846154;2.1538461538461537;16.384615384615383;2.5384615384615383
5c76fb5fb117d190beac217bc3568e70f2b6b71d_Wallet.sol;5c;ERC165;interface;3;3;0;1;1;0;0;1;0;0;0;2;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
5c76fb5fb117d190beac217bc3568e70f2b6b71d_Wallet.sol;5c;SpendLimit;contract;117;68;37;8;11;3;3;6;64;1;2;2;0;6;6;1.375;0.375;0.375;0.75;8.0;0.75
5c76fb5fb117d190beac217bc3568e70f2b6b71d_Wallet.sol;5c;IResolver;interface;3;3;0;1;1;0;0;1;0;0;0;0;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
5c76fb5fb117d190beac217bc3568e70f2b6b71d_Wallet.sol;5c;Wallet;contract;149;80;57;8;11;3;3;6;119;3;6;0;0;8;12;1.375;0.375;0.375;0.75;14.875;1.5
5c76fb5fb117d190beac217bc3568e70f2b6b71d_Wallet.sol;5c;OraclizeAddrResolverI;contract;3;3;0;1;1;0;0;0;0;0;0;0;0;0;0;1.0;0.0;0.0;0.0;0.0;0.0
5c76fb5fb117d190beac217bc3568e70f2b6b71d_Wallet.sol;5c;IController;interface;3;3;0;1;1;0;0;1;0;0;0;1;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
5c76fb5fb117d190beac217bc3568e70f2b6b71d_Wallet.sol;5c;Controllable;contract;25;15;7;1;1;0;0;1;10;0;0;5;1;2;2;1.0;0.0;0.0;1.0;10.0;2.0
5c76fb5fb117d190beac217bc3568e70f2b6b71d_Wallet.sol;5c;Controller;contract;58;38;11;6;6;0;0;5;33;1;1;0;0;2;2;1.0;0.0;0.0;0.8333333333333334;5.5;0.3333333333333333
5c76fb5fb117d190beac217bc3568e70f2b6b71d_Wallet.sol;5c;IOracle;interface;3;3;0;1;1;0;0;2;0;0;0;1;0;0;0;1.0;0.0;0.0;2.0;0.0;0.0
5c76fb5fb117d190beac217bc3568e70f2b6b71d_Wallet.sol;5c;Whitelist;contract;147;86;45;10;14;3;3;8;115;1;2;2;0;6;5;1.4;0.3;0.3;0.8;11.5;0.5
5c76fb5fb117d190beac217bc3568e70f2b6b71d_Wallet.sol;5c;Vault;contract;95;53;32;4;9;3;3;5;46;2;5;1;2;3;13;2.25;0.75;0.75;1.25;11.5;3.25
5c76fb5fb117d190beac217bc3568e70f2b6b71d_Wallet.sol;5c;Base64;contract;54;43;4;1;6;2;1;1;44;0;0;1;0;2;3;6.0;2.0;1.0;1.0;44.0;3.0
5c76fb5fb117d190beac217bc3568e70f2b6b71d_Wallet.sol;5c;OraclizeI;contract;14;14;0;11;11;0;0;28;0;0;0;0;0;1;0;1.0;0.0;0.0;2.5454545454545454;0.0;0.0
5c76fb5fb117d190beac217bc3568e70f2b6b71d_Wallet.sol;5c;CBOR;library;67;57;0;9;15;6;2;16;26;0;0;0;1;7;12;1.6666666666666667;0.6666666666666666;0.2222222222222222;1.7777777777777777;2.888888888888889;1.3333333333333333
